Stock,index,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Dividends USD,Payout Ratio % *,Shares Mil,Book Value Per Share * USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share * USD,Working Capital USD Mil,Revenue,COGS,Gross Margin,SG&A,R&D,Other,Operating Margin,Net Int Inc & Other,EBT Margin,Tax Rate %,Net Margin %,Asset Turnover (Average),Return on Assets %,Financial Leverage (Average),Return on Equity %,Return on Invested Capital %,Interest Coverage,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover,index YOY,Revenue USD Mil YOY,Gross Margin % YOY,Operating Income USD Mil YOY,Operating Margin % YOY,Net Income USD Mil YOY,Earnings Per Share USD YOY,Dividends USD YOY,Payout Ratio % * YOY,Shares Mil YOY,Book Value Per Share * USD YOY,Operating Cash Flow USD Mil YOY,Cap Spending USD Mil YOY,Free Cash Flow USD Mil YOY,Free Cash Flow Per Share * USD YOY,Working Capital USD Mil YOY,Revenue YOY,COGS YOY,Gross Margin YOY,SG&A YOY,R&D YOY,Other YOY,Operating Margin YOY,Net Int Inc & Other YOY,EBT Margin YOY,Tax Rate % YOY,Net Margin % YOY,Asset Turnover (Average) YOY,Return on Assets % YOY,Financial Leverage (Average) YOY,Return on Equity % YOY,Return on Invested Capital % YOY,Interest Coverage YOY,Operating Cash Flow Growth % YOY YOY,Free Cash Flow Growth % YOY YOY,Cap Ex as a % of Sales YOY,Free Cash Flow/Sales % YOY,Free Cash Flow/Net Income YOY,Cash & Short-Term Investments YOY,Accounts Receivable YOY,Inventory YOY,Other Current Assets YOY,Total Current Assets YOY,Net PP&E YOY,Intangibles YOY,Other Long-Term Assets YOY,Total Assets YOY,Accounts Payable YOY,Short-Term Debt YOY,Accrued Liabilities YOY,Other Short-Term Liabilities YOY,Total Current Liabilities YOY,Other Long-Term Liabilities YOY,Total Liabilities YOY,Total Stockholders' Equity YOY,Total Liabilities & Equity YOY,Current Ratio YOY,Quick Ratio YOY,Financial Leverage YOY,Debt/Equity YOY,Days Sales Outstanding YOY,Days Inventory YOY,Payables Period YOY,Cash Conversion Cycle YOY,Receivables Turnover YOY,Inventory Turnover YOY,Fixed Assets Turnover YOY,Asset Turnover YOY,Mean Future Fractional Price Change,Mean Past Fractional Price Change,Mean Price
A,,6.858,52.6,1.119,16.3,1.153,3.27,0.3,9.1,353.0,14.98,1.228,-194.0,1.034,2.93,2.736,100.0,47.45,52.55,26.49,9.74,,16.32,-1.11,15.21,,16.81,0.7,11.77,2.03,24.3,17.6,11.33,-2.54,-3.54,2.83,15.08,0.9,22.31,8.76,9.62,3.24,43.94,11.05,39.02,6.0,100.0,4.38,2.37,7.23,3.99,17.97,12.8,50.82,49.18,100.0,2.45,1.73,2.03,0.41,47.45,107.23,52.33,102.35,7.69,3.4,6.32,0.7,,1.03673469388,0.986866791745,1.04481792717,1.00617283951,1.13932806324,1.14736842105,,,0.994366197183,1.2070910556,0.974603174603,1.03191489362,0.964552238806,0.970198675497,0.733118971061,1.0,1.01714898178,0.985004686036,0.968555758684,0.992864424057,,1.00802964793,1.8813559322,0.975,,1.09869281046,0.985915492958,1.09082483781,0.966666666667,0.90469099032,1.09045848823,0.871538461538,-0.0336468406411,-0.0444947209653,0.996478873239,0.930289944479,0.849056603774,0.572932717001,0.922105263158,0.970736629667,1.03184713376,0.714587737844,0.994599459946,1.77041742287,1.11731843575,1.0,0.840690978887,0.849462365591,0.906015037594,0.927906976744,0.886094674556,1.18299445471,0.969292389853,1.03384486021,1.0,0.808580858086,0.723849372385,0.966666666667,0.911111111111,0.994758909853,1.12341540073,0.911354928596,1.19386445818,1.00522875817,0.890052356021,0.948948948949,0.985915492958,1.37420732949,1.0899268162,26.7313852381
AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13830568536,0.941989693616,20.716263
AAI,,,76.1,,28.3,,3.448544,0.5859616,,11.45,,,,3.41748448,,29.69978528,100.0,30.53,76.14,5.9,0.41,34.58,28.34,4.34,32.68,19.93,24.82,0.41,10.3,1.44,14.92,12.6,41.87,-993.0,,28.11,2.22,0.09,3.62,5.42,3.81,7.11,19.96,64.79,,15.26,100.0,2.27,2.71,,6.35,12.35,8.36,30.46,69.54,100.0,1.62,0.83,1.44,0.14,45.65,102.48,64.96,83.16,8.0,3.56,0.66,0.41,,,1.07032348805,,0.792717086835,,0.930510316809,2.41401227387,,1.0,,,,-15.9475499011,,0.980381365328,1.0,1.05713296399,1.07058492688,1.1216730038,0.640625,1.16470191984,0.793171004758,8.68,0.902014904775,0.992035838726,0.880454061724,0.891304347826,0.793528505393,0.986301369863,0.782791185729,0.791954745443,0.78261682243,,,0.808688147296,-15.8571428571,-9.0,0.746391752577,1.09939148073,1.01871657754,1.01137980085,0.971289537713,1.05127373033,,0.856822010107,1.0,0.897233201581,0.804154302671,,1.30658436214,1.02830974188,0.954337899543,0.966064065969,1.01562728202,1.0,0.947368421053,0.638461538462,0.986301369863,0.875,1.23712737127,,,,0.808897876643,,0.868421052632,0.891304347826,1.0,1.0,0.5
AAME,,140.0,,5.0,3.6,4.0,0.18,0.02,11.1,21.0,4.98,6.0,-0.0,6.0,0.28,,100.0,,,23.23,,73.14,3.63,,3.63,12.71,2.81,0.45,1.26,3.03,3.89,,,,,0.12,4.25,1.34,5.92,1.98,,,,,0.66,,100.0,,,,,,,66.98,33.02,100.0,,,3.03,0.39,,,,,,,,0.45,,1.18644067797,,1.66666666667,1.28571428571,1.33333333333,1.5,,,0.954545454545,1.11409395973,0.666666666667,,0.666666666667,1.4,,1.0,,,,,0.752469135802,1.29642857143,,1.29642857143,16.9466666667,1.19574468085,1.09756097561,1.3125,0.964968152866,1.25080385852,,,,,2.4,0.554106910039,0.485507246377,0.839716312057,0.722627737226,,,,,0.942857142857,,1.0,,,,,,,0.983120504917,1.03608409162,1.0,,,0.964968152866,0.906976744186,,,,,,,,1.09756097561,1.3690577958,1.4713584092,2.9245
AAN,,2.213,81.5,277.0,12.5,173.0,2.25,0.06,2.7,77.0,15.0,60.0,-65.0,-5.0,-0.07,718.0,100.0,18.48,81.52,43.52,,25.48,12.52,-0.01,12.51,37.5,7.79,1.25,9.75,1.6,16.38,14.52,44.31,-80.55,,2.94,-0.24,-0.03,11.88,4.09,53.18,,69.15,12.72,13.25,4.88,100.0,,,,29.53,29.53,,37.33,62.67,100.0,2.34,0.54,1.6,0.12,13.27,810.82,,,27.5,0.45,9.72,1.25,,1.09935419771,1.00122850123,1.48128342246,1.34408602151,1.51754385965,1.57342657343,1.2,0.72972972973,0.974683544304,1.20870265915,0.195439739414,0.833333333333,-0.0218340611354,-0.0261194029851,1.15993537964,1.0,0.993014508329,1.00159724782,1.00670830442,,0.882882882883,1.34623655914,0.0526315789474,1.37321624588,0.987881981033,1.38612099644,1.0,1.38691322902,0.898876404494,1.40842648323,1.33824884793,,-0.153835870209,,0.755784061697,-0.0210896309315,-0.0149253731343,0.751423149905,0.811507936508,1.07023545985,,0.980155917789,0.973966309342,1.02001539646,1.43529411765,1.0,,,,0.91001540832,0.8471026965,,0.85384263495,1.11353944563,1.0,1.15841584158,0.9,0.898876404494,0.75,0.937146892655,0.99755170335,,,1.06754658385,1.0,1.03624733475,1.0,1.02444719074,1.06051951738,28.2279998
AAON,,303.0,23.3,44.0,14.6,27.0,0.49,0.11,21.6,56.0,2.5,51.0,-14.0,37.0,0.67,52.0,100.0,76.74,23.26,8.66,,,14.59,0.03,14.62,38.06,9.06,1.63,14.74,1.4,21.06,20.68,,93.2,,4.67,12.21,1.35,4.71,23.04,16.86,2.7,47.31,46.87,,5.82,100.0,6.74,,8.86,4.88,20.48,8.13,28.61,71.39,100.0,2.31,1.36,1.4,,46.96,53.01,21.31,78.66,7.77,6.89,3.29,1.63,,1.13909774436,1.33908045977,2.0,1.75903614458,1.92857142857,1.96,1.0,0.681388012618,1.0,1.10619469027,1.96153846154,0.388888888889,-4.11111111111,-2.48148148148,1.13043478261,1.0,0.928830791576,1.33831990794,1.03341288783,,,1.75150060024,-0.12,1.80940594059,1.0877393541,1.72571428571,1.03821656051,1.78666666667,0.958904109589,1.80153977759,1.78738115817,,-5.28644356211,,0.346182357302,-3.44915254237,-2.01492537313,471.0,0.933549432739,0.863287250384,0.921501706485,1.00339342524,0.897205206738,,9.54098360656,1.0,0.854245880862,,2.6369047619,0.624839948784,0.947271045328,0.817907444668,0.906814580032,1.04295105917,1.0,1.05963302752,1.19298245614,0.958904109589,,0.925320197044,0.931962025316,0.880578512397,0.942713326942,1.08066759388,1.07320872274,0.993957703927,1.03821656051,2.23863231062,0.970453823836,9.14177775
AAP,,6.205,49.9,657.0,10.6,388.0,5.22,0.24,4.6,74.0,16.5,685.0,-271.0,414.0,5.59,625.0,100.0,50.07,49.93,39.33,,,10.59,-0.54,10.06,37.88,6.25,1.5,9.38,3.81,37.66,26.54,19.44,,,4.37,6.67,1.07,12.96,4.98,50.04,1.03,69.01,28.0,2.28,0.71,100.0,43.99,0.01,6.64,3.24,55.48,5.18,73.76,26.24,100.0,1.24,0.32,3.81,0.5,7.2,255.62,216.34,46.49,50.68,1.43,4.93,1.5,,1.0056726094,1.00402414487,0.987969924812,0.981481481481,0.982278481013,1.02152641879,1.0,0.92,0.961038961039,1.54494382022,0.826296743064,1.01119402985,0.737967914439,1.05871212121,5.89622641509,1.0,0.99621965778,1.00381986329,1.00923787529,,,0.983286908078,1.05882352941,0.980506822612,1.0055747279,0.9765625,0.852272727273,0.833037300178,0.883990719258,0.900310781736,0.835116425425,0.90587138863,,,1.00459770115,0.733773377338,0.753521126761,8.20253164557,1.30026109661,0.895330112721,0.715277777778,1.09976095618,0.836820083682,0.772881355932,0.835294117647,1.0,0.972799646174,0.5,0.728070175439,0.8,0.926984126984,0.925,0.960291628694,1.13152220785,1.0,1.18095238095,3.55555555556,0.883990719258,1.02040816327,1.74757281553,1.11177800974,1.23488783606,0.78997451147,0.571879936809,0.899371069182,0.944444444444,0.852272727273,1.4989974419,1.04192774137,72.08849905
AAPL,,156.508,43.9,55.241,35.3,41.733,6.31,0.38,,6.617,16.99,50.856,-9.402,41.454,6.31,19.111,100.0,56.13,43.87,6.42,2.16,,35.3,0.33,35.63,25.16,26.67,1.07,28.54,1.49,42.84,42.01,,35.51,37.83,6.01,26.49,0.99,16.54,10.62,0.45,5.14,32.75,8.78,3.04,55.43,100.0,12.03,,4.76,4.23,21.89,10.97,32.86,67.14,100.0,1.5,1.24,1.49,,19.01,3.26,74.38,-52.13,19.2,112.12,13.48,1.07,,1.44581474194,1.08395061728,1.63483279077,1.13141025641,1.60994522028,1.59746835443,,,1.00915052616,1.44227504244,1.35511204668,1.2616747182,1.37826245969,1.37472766885,1.12298742508,1.0,0.943044354839,1.08374505929,0.91452991453,0.964285714286,,1.13068545804,0.868421052632,1.12753164557,1.03881090008,1.11356993737,0.946902654867,1.05430365719,0.980263157895,1.02807775378,1.02363547758,,0.348752700845,0.458156715514,0.873546511628,0.953220582944,0.853448275862,0.741704035874,1.05461767627,0.671641791045,0.914590747331,0.847128815313,1.31437125749,0.797900262467,1.09006882989,1.0,0.957040572792,,0.682926829268,1.20170454545,0.910565723794,1.08292201382,0.961943793911,1.01974483597,1.0,0.931677018634,0.918518518519,0.980263157895,,1.03653217012,0.630560928433,0.985426603074,1.0032717475,0.964824120603,1.58967815114,0.780996523754,0.946902654867,0.704528672036,1.73650956096,97.3669181579
