Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),extra,
spotify:track:2rR5Sk3hYrw5kRURheLtjz,Wanted Dead Or Alive (feat. Snoop Doggy Dogg),2Pac,Pac Um In - [The Dave Cash Collection],1,1,277426,,
spotify:track:24pMJghNT9hpgFRCjyVEhG,California Love,2Pac,Ride or Die,1,1,348000,,
spotify:track:16LnNR25rqcvQVNv5UEQ7g,X,Xzibit,The Greatest,1,9,255546,,
spotify:track:4oQwJcNCqQQKiefoqB4Xvs,Hey Now - Mean Muggin - Xplicit Album Version,"Xzibit, Keri Hilson",The Greatest,1,13,259720,,
spotify:track:6dgT6v7UQCXEQ55ZpMwT2h,Front 2 Back,Xzibit,Restless,1,2,182466,,
spotify:track:65iyI1iybyv5ecsfBHSdUf,Gangsta Nation,Westside Connection,Terrorist Threats,1,4,293053,,
spotify:local:Ice+Cube:I+AM+THE+WEST:Ice+Cube+-+Life+In+California+feat+Jayo+Felony%2C+WC+%26+Young+Maylay+2010:243,"Ice Cube - Life In California feat Jayo Felony, WC & Young Maylay 2010",Ice Cube,I AM THE WEST,0,0,243000,,
spotify:local:Ice+Cube:Laugh+Now%2C+Cry+Later:Ice+Cube+-+Do+Ya+Thang:244,Ice Cube - Do Ya Thang,Ice Cube,"Laugh Now, Cry Later",0,0,244000,,
spotify:track:2MuJbBWAVewREJmB8WdGJ3,It Was A Good Day,Ice Cube,The Essentials,1,6,260306,,
spotify:track:57yhlagxGEyOVBlguhnVu0,Why We Thugs - edited version,Ice Cube,"Laugh Now, Cry Later",1,2,224106,,
spotify:track:7r5F9MCA1PxTeM5XeyDBRX,I Rep That West,Ice Cube,I Am the West,1,8,271820,,
spotify:track:6RnCdCVTOxHnzDwODEu8vQ,Gangsta Rap Made Me Do It,Ice Cube,Raw Footage,1,4,281653,,
spotify:track:3WqX71mMUUD1pc4kcn8AM8,Friday - Edited,Ice Cube,At Tha Movies,1,2,229213,,
spotify:track:5oc70i45QAxUeE9mj5dAsB,Ghetto Vet - 2007 Digital Remaster,Ice Cube,The Essentials,1,3,278306,,
spotify:track:1w9QuE82GTtADusjV8LM3m,The Streets,"WC, Nate Dogg, Snoop Dogg",Ghetto Heisman,1,3,227866,,
spotify:track:1RDBHs4VO4YNkBsFdZOeh9,Bow Down Feat Westside Connection,"WC, Westside Connection",West Side Heavy Hitter,1,11,188520,,
spotify:track:5J5Bbx7lKQOQXeW1EAL9Mz,Call 9-1-1,Westside Connection,Terrorist Threats,1,2,223760,,
spotify:track:2uIAXqgDJnhe78DIXxns9M,Bangin',Westside Connection,The Best of Westside Connection,1,14,319973,,
