•ÈÀ•ÈÀSpotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:1l14rsckGgvU4oq8doA5ye,Chasing (In the Night) [feat. Lauren Mason],"Sultan + Shepard, Lauren Mason",Chasing (In the Night) [feat. Lauren Mason],1,1,182480,spotify:user:plopous,2015-07-18T11:41:29Z
spotify:track:1MB60Ingbxmdukc2wq8b2G,Hookah,Qulinez,Hookah,1,1,178125,spotify:user:plopous,2015-07-21T14:42:11Z
spotify:track:0EvOIuRs8HeyHAgLbWGLqk,Bittersweet - Radio Edit,"Dyro, Conro, Envy Monroe",Bittersweet,1,1,208515,spotify:user:plopous,2015-07-21T14:49:05Z
spotify:track:2Pjazbe7W5svzVZt1sBtb1,Higher Place (Radio Edit),"Dimitri Vegas & Like Mike, Ne-Yo",Higher Place (Radio Edit),1,1,174010,spotify:user:plopous,2015-07-23T14:17:32Z
spotify:track:0i6XijpG0r3DwoO0LEf5uk,Sun Turns Cold,"Gazzo, Chase Rice",Sun Turns Cold,1,1,278972,spotify:user:plopous,2015-07-23T16:45:04Z
spotify:track:0aCMZd9ID4rvGHYjLn3Fky,Summer Air (Jauz Remix),"Lema, Shafer, Roxanne Emery, Jauz",Summer Air (Jauz Remix),1,1,330240,spotify:user:plopous,2015-07-23T16:55:11Z
spotify:track:2Z6KB75kOBk4iQRZrhSJH0,Here Right Now - Radio Edit,"Suspect 44, RUMORS",Here Right Now,1,1,225139,spotify:user:plopous,2015-07-24T13:38:42Z
spotify:track:21XpjBYEwH08XtLazsJ5wf,Disarm You (feat. Ilsey),"Kaskade, Ilsey",Disarm You (feat. Ilsey),1,1,221133,spotify:user:plopous,2015-07-24T16:40:02Z
spotify:track:4jyhGPelgufi6wzbdOg1X2,Together - Lost Kings Remix,"CAZZETTE, Lost Kings, Newtimers",Together (Remixes),1,1,187269,spotify:user:plopous,2015-07-24T19:45:27Z
spotify:track:30CgtHELtxZrUw1AWdJn14,Arrival - Radio Edit,Third Party,Arrival,1,1,223464,spotify:user:plopous,2015-07-27T05:24:54Z
spotify:track:4MbaEL7NffflUu18ejh2ne,Believe - Original Mix,"Thomas Gold, Bright Lights",Believe,1,1,335558,spotify:user:plopous,2015-07-27T16:23:47Z
spotify:track:5JTwB5ZcbTuBzxmm1HaAYX,Break Through The Silence - Radio Edit,"Martin Garrix, Matisse & Sadko",Break Through The Silence EP,1,1,204772,spotify:user:plopous,2015-07-27T18:46:16Z
spotify:track:764x3vyLkBBW8jvfMDoSGu,Angels - M35 Remix,"Vicetone, Kat Nestel, M35",Angels (M35 Remix),1,1,251250,spotify:user:plopous,2015-07-29T15:11:15Z
spotify:track:4534rgSciSkvD1DOZLTFYa,Go,The Chemical Brothers,Go,1,1,260696,spotify:user:plopous,2015-07-30T13:17:08Z
spotify:track:4TkKjeNOVQG0ebYsoMx1NT,One Last Night On Earth,Dada Life,One Last Night On Earth,1,1,230479,spotify:user:plopous,2015-06-02T14:43:21Z
spotify:track:3lUmaVqVvSGXahObJ85qWc,"Louder, Harder, Better",Galantis,Pharmacy,1,6,266000,spotify:user:plopous,2015-06-11T13:28:41Z
spotify:track:5CQ3B0nNkKGNKMLPrtXfHa,Tiger - Original Mix,"R3HAB, Skytech, Fafaq",Tiger,1,1,200628,spotify:user:plopous,2015-06-12T16:24:13Z
spotify:track:5ScMaEiUXf9BATTbDKNFq8,Where Are ÌÏ Now (with Justin Bieber) - Marshmello Remix,"Jack ÌÏ, Skrillex, Diplo, Justin Bieber, Marshmello",Where Are ÌÏ Now (with Justin Bieber) [Remixes],1,3,206197,spotify:user:plopous,2015-06-22T12:01:11Z
spotify:track:0rCuRc07y6l1kPYj0JSRg5,Angels - Radio Edit,"Vicetone, Kat Nestel",Angels (Radio Edit),1,1,214325,spotify:user:plopous,2015-04-21T12:55:57Z
spotify:track:4mldVEKGD3qrpnM84AeP83,It Feels - KSHMR Remix,"NERVO, KSHMR",It Feels (Remixes),1,1,256875,spotify:user:plopous,2015-04-22T11:05:18Z
spotify:track:1PIxALuF3mgDQKra9M0ydi,Melody,Oliver Heldens,Melody,1,1,290023,spotify:user:plopous,2015-05-11T17:24:05Z
spotify:track:0gv9o9mPK1JQeZd3eMFdTa,Lightning Strikes,"Steve Aoki, NERVO, Tony Junior",Neon Future II,1,6,238128,spotify:user:plopous,2015-05-14T11:47:32Z
spotify:track:5EYmoAWIbrnrSMMkfHpJ2t,Runaway (U & I) - Kaskade Remix,"Galantis, Kaskade",Runaway (U & I) [Kaskade Remix],1,1,315338,spotify:user:plopous,2014-10-30T18:03:52Z
spotify:track:5g6QMEXgFeqJpVbhs4Z7Az,A Little More,"Kaskade, John DahlbÌ_ck, Sansa",A Little More,1,1,233232,spotify:user:plopous,2014-11-04T19:56:18Z
spotify:track:3LQxo27aEIRGxAypPq9fFs,Now Or Never - Estiva Vs. Juventa Remix,"Tritonal, Phoebe Ryan, Estiva, Juventa",Now Or Never (Remixes Pt. 2),1,1,337500,spotify:user:plopous,2014-02-03T11:40:25Z
spotify:track:0ZdJ0MBlyrwvuLNtv3cbKM,Blame - R3HAB Club Remix,"Calvin Harris, John Newman, R3HAB",Blame (Remixes),1,2,260666,spotify:user:plopous,2014-11-10T15:09:20Z
